PSINDER,PDER_SEGP,P18A24A_M,PROM_HNV,POCUPADA_F,PEA_F,P15PRI_CO,P15SEC_COM,P15SEC_CO,ic_asalud
0.18250877248443081,0.12747658036438742,0.023028693663789925,2.086428729491354e-06,0.2164427443914056,0.22001074826921252,0.08035490363439024,0.0917838965637151,0.19235186882896554,20.0
0.1472756907792611,0.46563567215150575,0.012670754424091896,5.0838248990996587e-05,0.13716625271654764,0.13858273828003725,0.09812558211735486,0.11667572182552002,0.2525225085377212,16.5
0.2031244635193133,0.555931330472103,0.010609442060085838,4.583690987124463e-05,0.16037768240343347,0.16199141630901287,0.13208583690987125,0.09872961373390558,0.2285665236051502,21.0
0.13805882352941176,0.37876470588235295,0.015705882352941177,0.0001476470588235294,0.14123529411764707,0.14294117647058824,0.08347058823529412,0.12123529411764705,0.25429411764705884,17.6
0.21010705847039537,0.15416881527603538,0.018433144255708887,1.6239638571835385e-05,0.2089371887723295,0.21097676423277328,0.0927814421722633,0.08958739003609664,0.1860708540818447,21.1
0.18591277337027243,0.24852033748898122,0.017084330269067707,4.974184611509885e-05,0.18299542458968224,0.18509423666204927,0.08309196994501113,0.10206523107920917,0.22136170927255175,21.1
0.1986264358800049,0.3533267095469679,0.015897087277100874,4.288030120796946e-05,0.18621555195314543,0.18801094667851975,0.07920654011748506,0.09688159110320906,0.20837037424392965,22.4
0.13075795644891122,0.6162060301507538,0.010469011725293133,0.00027847571189279735,0.15096314907872696,0.15232412060301506,0.10311976549413736,0.11683417085427136,0.2536641541038526,8.1
0.14934400711585502,0.4971758950411385,0.0120524794307316,0.00011785634867689571,0.12835223482321548,0.12995330220146764,0.1091839003780298,0.10402490549255058,0.2297531687791861,17.0
0.21037740373087804,0.371984846305088,0.011317316453268115,0.00012564139452356975,0.13182755478827987,0.13307437778736872,0.1104397448808325,0.12703208171486116,0.2597228216563564,23.0
0.17055663983741148,0.1812829653047728,0.012000580673258383,3.484039550300821e-05,0.18433149991128603,0.1865896736938884,0.09158507669725954,0.11589270448570092,0.24457635046857107,23.7
0.1753194519239219,0.23759877604454188,0.022692296426149203,4.348737176295101e-06,0.21723406796197448,0.21946476734256107,0.08506625627806681,0.08552366231267194,0.1708805854797243,19.5
0.1816226452478205,0.13550017527281594,0.023056948424068767,1.8575108211912454e-06,0.2124039809790892,0.21479016795708103,0.07617699506187893,0.09802322745839176,0.19879842864110223,18.6
0.1818056067871634,0.16803762449280707,0.017696421984507563,1.899668019181114e-05,0.19555514570269272,0.19751014385835486,0.09691073404647732,0.10196421984507562,0.19448542973072666,21.8
