VPH_HMICRO,VPH_PC,PDER_IMSS,VPH_CEL,VPH_AUTOM,VPH_REFRI,pobreza_m
0.18546243901410975,0.14428286915562863,0.6062424261583368,0.2652493703832496,0.1788153721324777,0.26866352648605357,21.7
0.10383033219497051,0.05483545482769326,0.34465228190003105,0.20727258615336852,0.12882257063023905,0.2148207078547035,36.0
0.13720171673819742,0.06872103004291845,0.17488412017167382,0.23460944206008583,0.1550557939914163,0.25165665236051504,41.3
0.09929411764705882,0.05911764705882353,0.42658823529411766,0.20141176470588235,0.12441176470588235,0.20694117647058824,33.7
0.15964873123013337,0.12073517074710034,0.5716506707509486,0.2417320228740312,0.1726943176658021,0.24177820194106012,23.1
0.13377828149267515,0.09312429165092558,0.4574570792931201,0.21708013264492299,0.14122906434957813,0.2240062124837342,26.0
0.1139465565026408,0.07774233471038365,0.34760933605257194,0.2121529048789416,0.13226655510815946,0.21593543551395353,34.9
0.11484505862646566,0.06030150753768844,0.15420854271356785,0.21974455611390284,0.15064907872696817,0.22435092127303183,43.4
0.10611518790304647,0.052434956637758504,0.30856126306426507,0.2050255726039582,0.12497220369134979,0.21863464531910162,34.5
0.09461468373855081,0.050064738886491156,0.3540497770105021,0.214213782189613,0.14165827458878819,0.2172349302258668,35.8
0.13594206171266351,0.08079423197896672,0.6161588463957933,0.24688291368937207,0.1442489152700937,0.2406245463490169,31.9
0.17860691697066516,0.15533553999824248,0.4590125888054943,0.2953806496968277,0.22644077267821372,0.2903491833161712,20.2
0.21830038712430652,0.15888766536609156,0.5489344555873925,0.29452786837773576,0.2453266932878132,0.30415834755837345,19.1
0.19426410918480266,0.13543895241608261,0.5133068978236813,0.26635927701955,0.22243637034304684,0.27128365916635927,19.9
0.19194724848545375,0.1563721214258555,0.557172007825134,0.2838915321169109,0.19326998948777205,0.2861333778581583,21.8
0.1748837575853101,0.13590511466624636,0.350145795570967,0.2752383954606352,0.21177397746079282,0.27638111750334937,29.1
0.08162084921066957,0.06936411268372346,0.3766416031573217,0.2576126156777354,0.16653341045182363,0.1996971965160588,31.1
0.12957916215883103,0.10191588721052848,0.3967214910779091,0.27781049287191356,0.22901631037646705,0.2788238999739801,30.7
0.12569116866077287,0.12272343881790634,0.5240386117272188,0.27868545187591764,0.20717878229358658,0.25533410390178374,20.9
0.16956210798621685,0.16950051498591914,0.45566843803573076,0.2969980256021571,0.2278017116010416,0.293949172087421,18.7
0.13080194012719623,0.11912756934416752,0.5880875278758,0.2747478717556556,0.17217062410462788,0.2624127412698548,26.9
0.1483492133835586,0.12668956348327054,0.3704852647906049,0.28401285176157764,0.2384223354752936,0.2801905606027033,31.1
0.05780659103187466,0.07340626688276607,0.1050783360345759,0.2010906266882766,0.05866761210156672,0.18652079956780118,45.1
0.12352887169006757,0.1338356960932001,0.468696973921796,0.2654372834325704,0.1213831751548064,0.26531826698449723,27.8
0.1217143201591352,0.11917056802427213,0.3996584219092206,0.25950290341377164,0.11594767827362415,0.257493620526834,27.7
0.05465012152999872,0.04895740053729052,0.21112958935653064,0.22037866189075092,0.07642318024817706,0.21797364717922477,45.1
0.052448538396465835,0.06197324309928878,0.19635304069931384,0.1926872826393458,0.05323182003321114,0.19757496005263653,50.1
0.037636449928808734,0.033768391077361175,0.09283341243474134,0.14826767916468914,0.05937351684859991,0.1636924537256763,53.1
0.05528043303005874,0.0448001842681101,0.1282966716572613,0.2306806403316826,0.05320741679143153,0.22895312679949326,46.1
0.04488298987076493,0.044184421935033184,0.24502270345791127,0.20433112120153685,0.05859238560950052,0.20371987425777158,43.3
0.06199622849323298,0.055471188024631614,0.12479348497238123,0.22442134072059142,0.07429534569364017,0.2199989987150176,50.2
0.02658132055243741,0.019959639276029513,0.026171406949612157,0.1659204136974207,0.05615816358705934,0.1624203821656051,52.7
0.04350606441711253,0.027028755355658345,0.03841152772152708,0.16053119604374055,0.06301025302155053,0.19139684096092768,49.5
0.25048923679060664,0.07534246575342465,0.2700587084148728,0.3111545988258317,0.23483365949119372,0.34833659491193736,10.3
0.1766120030909247,0.09297918532056078,0.7140710667369893,0.27252879343546466,0.17100050288854274,0.27909087563934304,21.9
0.20328764746703679,0.10092817487855656,0.6229181124219292,0.2671321998612075,0.22076682859125607,0.291117279666898,23.4
0.17354114544593954,0.10308337277706403,0.5116640746500778,0.2549530056122794,0.20028399486104537,0.2757792954222733,25.8
0.16494217894096166,0.044430919050517347,0.19902617163724892,0.2598904443091905,0.18441874619598295,0.27571515520389533,28.8
